"XGBoost_pred","RF_pred","Obs"
2.91409111022949,2.77997899505872,2.84984755887971
1.60729658603668,1.79237039599734,1.31213687174878
1.21342992782593,1.42781571624392,1.48972143647916
2.35054659843445,2.00426673483832,2.59425121535264
1.45763659477234,1.87431128462606,1.48088963605513
0.490072250366211,0.90021477221148,0.692883556140491
2.94422268867493,2.76293249695598,3.17030735060327
0.913486301898956,1.194830996097,0.810373174194847
3.15208649635315,2.74636834126493,3.32317222633182
2.0279107093811,1.81261399311749,2.07319444965015
3.50958490371704,3.07742434406083,3.50051278962563
2.14086771011353,2.34668121704891,2.15496902689416
3.11550974845886,2.93018890063456,3.32268857926811
2.79231381416321,2.72752059241084,3.14915342965291
3.19172525405884,2.99872292979186,3.81619822764767
3.29542446136475,3.04543288631942,3.28030183476849
1.70954501628876,1.98130648982133,1.55444159422934
-0.120328463613987,0.584366249289119,0.152618040408284
3.29102921485901,2.9227794942873,3.05222056214546
1.32766795158386,1.63798960001908,1.10523043607645
2.2102415561676,1.80836046516613,2.1143538215417
1.74289214611053,2.11768409949975,1.79557142140739
1.55295562744141,1.94581351839451,1.18992396494539
1.7541047334671,1.91416722923833,1.69521091749243
2.35680794715881,2.46248783681145,2.64057929401352
3.27816796302795,3.01748444302104,3.01531856872059
0.826692879199982,0.682631520934966,0.706521862835309
3.14529824256897,3.03067553255607,3.60608260128158
1.50650787353516,1.64076217534991,1.37057643711289
0.974938929080963,1.29949188905361,0.985711097193249
1.15117192268372,1.30703233291899,1.13007857481547
2.16152834892273,2.38416674760318,2.97034406308353
0.819980442523956,0.982688182661944,0.714577919020999
0.825256943702698,1.1543904771683,1.57054622413299
1.97828054428101,2.09578581754378,2.44240340590463
1.72705507278442,1.70428832617741,1.92266408695068
1.2111029624939,0.754351990665136,0.493548997668186
2.88773560523987,2.6282494479397,3.36892638133371
2.85104322433472,2.62040320970007,2.85676826769619
2.59346842765808,2.68237434129622,2.43203659300738
1.33131241798401,1.46280936902529,1.60640466723004
1.30225121974945,1.66794388054866,0.872630545402854
2.79063630104065,2.5166022339161,2.51791082869214
3.36461877822876,3.28761773784136,3.71233453833868
0.100085482001305,0.464075287782901,-0.441379124693446
0.211881712079048,0.45027389758873,0.123615561265081
2.94217038154602,2.88426962253081,2.80283554800556
2.90909838676453,2.81320702135377,2.94219816183641
0.0442432090640068,0.808859781184475,0.902760907640078
-0.39558881521225,0.41268929176729,-0.287517186456432
1.56463587284088,1.73529280594846,1.07032819516923
1.04129362106323,0.899941446456433,1.04999797646077
2.0094473361969,1.93346209226004,2.11111912004777
2.1287407875061,2.18218454110176,2.45580905868677
1.78760552406311,1.94745003077676,2.29570551057879
1.35816955566406,1.70612578701056,1.64634521377431
1.68544685840607,1.81595042455781,1.83223175802389
0.0347925759851933,1.1079424442106,0.730285334121508
1.53788542747498,1.85588619652129,1.30102961760836
-0.261107176542282,0.287710202949851,-0.286585085603683
